"No.","Info","Time","Source","Destination","Protocol","Length"
"72537","Standard query response 0x896c A assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 23.220.161.151 A 23.220.161.146 A 23.220.161.138 A 23.220.161.142 A 23.220.161.136 A 23.220.161.154 A 23.220.161.153 A 23.220.161.155 A 23.220.161.133","22.949469","9.9.9.9","10.10.10.9","DNS","292"
"72540","Standard query response 0x5c02 HTTPS assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net SOA n0d.akamaiedge.net","22.951080","9.9.9.9","10.10.10.9","DNS","206"
"72543","Standard query 0xf1e0 A settings-win.data.microsoft.com","22.951937","10.10.10.116","8.8.8.8","DNS","91"
"72641","Standard query response 0xf1e0 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-eus2-2.eastus2.cloudapp.azure.com A 52.167.17.97","22.967549","8.8.8.8","10.10.10.116","DNS","222"
"73342","Standard query 0x9385 A sadownload.mcafee.com","23.216830","10.10.10.116","9.9.9.9","DNS","81"
"73444","Standard query response 0x9385 A sadownload.mcafee.com CNAME sadownload-r53.awsconsumer.mcafee.com CNAME sadownload.mcafee.com.edgesuite.net CNAME a866.dscd.akamai.net A 23.219.2.91 A 23.219.2.88","23.231228","9.9.9.9","10.10.10.116","DNS","234"
"75776","Standard query 0xb8b3 A th.bing.com","23.972744","10.10.10.9","9.9.9.9","DNS","71"
"75777","Standard query 0xb966 A login.microsoftonline.com","23.972744","10.10.10.9","9.9.9.9","DNS","85"
"75778","Standard query 0x4d09 HTTPS th.bing.com","23.972744","10.10.10.9","9.9.9.9","DNS","71"
"75784","Standard query response 0xb8b3 A th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.213.179.71 A 23.213.179.76","23.984517","9.9.9.9","10.10.10.9","DNS","220"
"75785","Standard query response 0x4d09 HTTPS th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net","23.984517","9.9.9.9","10.10.10.9","DNS","249"
"75786","Standard query response 0xb966 A login.microsoftonline.com CNAME login.mso.msidentity.com CNAME ak.privatelink.msidentity.com CNAME www.tm.ak.prd.aadg.trafficmanager.net A 20.190.155.131 A 40.126.27.128 A 20.190.155.3 A 20.190.155.1 A 20.190.155.67 A 20.190.155.2 A 20.190.155.66 A 20.190.155.65","23.984517","9.9.9.9","10.10.10.9","DNS","328"
"79836","Standard query 0x596d A connectivitycheck.gstatic.com","25.137695","10.10.10.42","9.9.9.9","DNS","89"
"79842","Standard query 0x87f5 A www.google.com","25.138721","10.10.10.42","9.9.9.9","DNS","74"
"79866","Standard query response 0x596d A connectivitycheck.gstatic.com A 192.178.52.227","25.148753","9.9.9.9","10.10.10.42","DNS","105"
"79897","Standard query response 0x87f5 A www.google.com A 172.217.4.164","25.154615","9.9.9.9","10.10.10.42","DNS","90"
"80464","Standard query 0xf3b6 AAAA EOeJof-dnsotls-ds.metric.gstatic.com","25.346626","10.10.10.42","9.9.9.9","DNS","96"
"80925","Standard query response 0xf3b6 AAAA EOeJof-dnsotls-ds.metric.gstatic.com AAAA 2607:f8b0:4012:821::2003","25.425690","9.9.9.9","10.10.10.42","DNS","124"
"81074","Standard query 0xf870 AAAA JSo3sb-dnsotls-ds.metric.gstatic.com","25.455176","10.10.10.42","1.1.1.1","DNS","96"
"81125","Standard query response 0xf870 AAAA JSo3sb-dnsotls-ds.metric.gstatic.com AAAA 2607:f8b0:4007:809::2003","25.549146","1.1.1.1","10.10.10.42","DNS","124"
"81282","Standard query 0x3bf9 A www.google.com","25.583329","10.10.10.42","9.9.9.9","DNS","74"
"81286","Standard query 0x4a5d A www.google.com","25.591728","10.10.10.42","8.8.8.8","DNS","74"
"81287","Standard query 0xddf1 A www.google.com","25.593973","10.10.10.42","1.1.1.1","DNS","74"
"81292","Standard query response 0x3bf9 A www.google.com A 172.217.4.164","25.601961","9.9.9.9","10.10.10.42","DNS","90"
"81293","Standard query response 0x4a5d A www.google.com A 192.178.52.196","25.604761","8.8.8.8","10.10.10.42","DNS","90"
"81662","Standard query response 0xddf1 A www.google.com A 142.250.217.132","25.674914","1.1.1.1","10.10.10.42","DNS","90"
"81663","Standard query 0xde14 AAAA axDhyZ-dnsotls-ds.metric.gstatic.com","25.674914","10.10.10.42","8.8.8.8","DNS","96"
"81715","Standard query response 0xde14 AAAA axDhyZ-dnsotls-ds.metric.gstatic.com AAAA 2607:f8b0:4012:800::2003","25.714903","8.8.8.8","10.10.10.42","DNS","124"
"88296","Standard query 0xceec A msedge.b.tlu.dl.delivery.mp.microsoft.com","27.728686","10.10.10.9","9.9.9.9","DNS","101"
